french_name;english_name;scientific_name;famille;ordre;color1;color2;status;
Oie des neiges;Snow Goose;Anser caerulescens;ANSERIFORMES;Anatidae;Blanc;Noir;Rare/Accidental;
Oie cendrée;Graylag Goose;Anser anser;ANSERIFORMES;Anatidae;Gris;Blanc;None;
Oie rieuse;Greater White-fronted Goose;Anser albifrons;ANSERIFORMES;Anatidae;Marron;Blanc;None;
Oie naine;Lesser White-fronted Goose;Anser erythropus;ANSERIFORMES;Anatidae;Gris;Blanc;Rare/Accidental;
Oie des moissons;Taiga Bean-Goose;Anser fabalis;ANSERIFORMES;Anatidae;Gris;Blanc;None;
Oie de la toundra;Tundra Bean-Goose;Anser serrirostris;ANSERIFORMES;Anatidae;Marron;Blanc;None;
Oie à bec court;Pink-footed Goose;Anser brachyrhynchus;ANSERIFORMES;Anatidae;Marron clair;Blanc;Rare/Accidental;
Bernache cravant;Brant;Branta bernicla;ANSERIFORMES;Anatidae;Noir;Blanc;None;
Bernache nonnette;Barnacle Goose;Branta leucopsis;ANSERIFORMES;Anatidae;Noir;Gris clair;None;
Bernache de Hutchins;Cackling Goose;Branta hutchinsii;ANSERIFORMES;Anatidae;Noir;Marron;Introduced species;
Bernache du Canada;Canada Goose;Branta canadensis;ANSERIFORMES;Anatidae;Noir;Marron;Introduced species;
Bernache à cou roux;Red-breasted Goose;Branta ruficollis;ANSERIFORMES;Anatidae;Noir;Roux;Rare/Accidental;
Cygne tuberculé;Mute Swan;Cygnus olor;ANSERIFORMES;Anatidae;Blanc;None;None;
Cygne siffleur;Tundra Swan;Cygnus columbianus;ANSERIFORMES;Anatidae;Blanc;Noir;None;
Cygne chanteur;Whooper Swan;Cygnus cygnus;ANSERIFORMES;Anatidae;Blanc;Jaune;None;
Ouette d'Égypte;Egyptian Goose;Alopochen aegyptiaca;ANSERIFORMES;Anatidae;Marron clair;Roux;Introduced species;
Tadorne casarca;Ruddy Shelduck;Tadorna ferruginea;ANSERIFORMES;Anatidae;Roux clair;Blanc;Rare/Accidental;
Tadorne de Belon;Common Shelduck;Tadorna tadorna;ANSERIFORMES;Anatidae;Blanc;Noir;None;
Canard mandarin;Mandarin Duck;Aix galericulata;ANSERIFORMES;Anatidae;Roux clair;Blanc;Introduced species;
Sarcelle élégante;Baikal Teal;Sibirionetta formosa;ANSERIFORMES;Anatidae;Marron;Vert;Rare/Accidental;
Sarcelle d'été;Garganey;Spatula querquedula;ANSERIFORMES;Anatidae;Marron;Blanc;None;
Sarcelle à ailes bleues;Blue-winged Teal;Spatula discors;ANSERIFORMES;Anatidae;Marron;Blanc;Rare/Accidental;
Canard souchet;Northern Shoveler;Spatula clypeata;ANSERIFORMES;Anatidae;Roux;Blanc;None;
Canard chipeau;Gadwall;Mareca strepera;ANSERIFORMES;Anatidae;Gris;Marron;None;
Canard à faucilles;Falcated Duck;Mareca falcata;ANSERIFORMES;Anatidae;Gris;Vert;Introduced species;
Canard siffleur;Eurasian Wigeon;Mareca penelope;ANSERIFORMES;Anatidae;Gris;Marron;None;
Canard d'Amérique;American Wigeon;Mareca americana;ANSERIFORMES;Anatidae;Marron;None;Rare/Accidental;
Canard colvert;Mallard;Anas platyrhynchos;ANSERIFORMES;Anatidae;Gris;Vert;None;
Canard noir;American Black Duck;Anas rubripes;ANSERIFORMES;Anatidae;Gris foncé;Bleu;Rare/Accidental;
Canard pilet;Northern Pintail;Anas acuta;ANSERIFORMES;Anatidae;Gris;Blanc;None;
Sarcelle d'hiver;Green-winged Teal;Anas crecca;ANSERIFORMES;Anatidae;Gris;Vert;None;
Marmaronette marbrée;Marbled Duck;Marmaronetta angustirostris;ANSERIFORMES;Anatidae;Gris;Blanc;None;
Nette rousse;Red-crested Pochard;Netta rufina;ANSERIFORMES;Anatidae;Marron clair;Noir;None;
Fuligule à dos blanc;Canvasback;Aythya valisineria;ANSERIFORMES;Anatidae;Blanc;Marron foncé;Introduced species;
Fuligule à tête rouge;Redhead;Aythya americana;ANSERIFORMES;Anatidae;Gris clair;Marron;Rare/Accidental;
Fuligule milouin;Common Pochard;Aythya ferina;ANSERIFORMES;Anatidae;Gris clair;Marron;None;
Fuligule à collier;Ring-necked Duck;Aythya collaris;ANSERIFORMES;Anatidae;Noir;Blanc;Rare/Accidental;
Fuligule nyroca;Ferruginous Duck;Aythya nyroca;ANSERIFORMES;Anatidae;Marron foncé;Blanc;None;
Fuligule morillon;Tufted Duck;Aythya fuligula;ANSERIFORMES;Anatidae;Noir;Blanc;None;
Fuligule milouinan;Greater Scaup;Aythya marila;ANSERIFORMES;Anatidae;Noir;Blanc;None;
Petit Fuligule;Lesser Scaup;Aythya affinis;ANSERIFORMES;Anatidae;Noir;Gris Clair;Rare/Accidental;
Eider de Steller;Steller's Eider;Polysticta stelleri;ANSERIFORMES;Anatidae;Noir;Blanc;Rare/Accidental;
Eider à tête grise;King Eider;Somateria spectabilis;ANSERIFORMES;Anatidae;Noir;Blanc;Rare/Accidental;
Eider à duvet;Common Eider;Somateria mollissima;ANSERIFORMES;Anatidae;Noir;Blanc;None;
Arlequin plongeur;Harlequin Duck;Histrionicus histrionicus;ANSERIFORMES;Anatidae;Gris foncé;Roux;Introduced species;
Macreuse à front blanc;Surf Scoter;Melanitta perspicillata;ANSERIFORMES;Anatidae;Noir;Blanc;Rare/Accidental;
